,Trained_Year,Based_On,Year,Month,Actual_value,Predicted_value,Accuracy
230,2015,Lowest INSample Mape,2012,01-02-2012,1271.618161,1192.62166,0.937877184
231,2015,Lowest INSample Mape,2012,01-03-2012,1454.67904,1415.489245,0.97305949
232,2015,Lowest INSample Mape,2012,01-04-2012,1383.085355,1414.98087,0.976938867
233,2015,Lowest INSample Mape,2012,01-05-2012,1256.578116,1263.728763,0.994309429
234,2015,Lowest INSample Mape,2012,01-06-2012,1250.914708,1359.649494,0.913075779
235,2015,Lowest INSample Mape,2012,01-07-2012,1424.697673,1196.045486,0.839508275
236,2015,Lowest INSample Mape,2012,01-08-2012,1209.697283,1199.159954,0.991289284
237,2015,Lowest INSample Mape,2012,01-09-2012,1290.272206,1359.782217,0.946127638
238,2015,Lowest INSample Mape,2012,01-10-2012,1461.46163,1434.029703,0.9812298
239,2015,Lowest INSample Mape,2012,01-11-2012,1659.064149,1558.323206,0.939278452
240,2015,Lowest INSample Mape,2012,01-12-2012,1762.816821,1874.791945,0.936479433
241,2015,Lowest INSample Mape,2013,01-01-2013,1515.563794,1601.480332,0.94331051
242,2015,Lowest INSample Mape,2013,01-02-2013,1442.783329,1259.238852,0.872784448
243,2015,Lowest INSample Mape,2013,01-03-2013,1494.53245,1368.160526,0.915443841
244,2015,Lowest INSample Mape,2013,01-04-2013,1198.571522,1356.804492,0.867982038
245,2015,Lowest INSample Mape,2013,01-05-2013,1415.179078,1302.220473,0.920180699
246,2015,Lowest INSample Mape,2013,01-06-2013,1170.703381,1242.533295,0.938643797
247,2015,Lowest INSample Mape,2013,01-07-2013,1399.530637,1279.466489,0.914211133
248,2015,Lowest INSample Mape,2013,01-08-2013,1199.030512,1194.302385,0.996056708
249,2015,Lowest INSample Mape,2013,01-09-2013,1285.699875,1315.220114,0.977039557
250,2015,Lowest INSample Mape,2013,01-10-2013,1574.435691,1429.851785,0.908167792
251,2015,Lowest INSample Mape,2013,01-11-2013,1576.22275,1528.411553,0.969667233
252,2015,Lowest INSample Mape,2013,01-12-2013,1897.742974,1827.579825,0.963028108
253,2015,Lowest INSample Mape,2014,01-01-2014,1431.416965,1489.56416,0.959377878
254,2015,Lowest INSample Mape,2014,01-02-2014,1295.234895,1320.249828,0.980686952
255,2015,Lowest INSample Mape,2014,01-03-2014,1298.673707,1454.084788,0.880330925
256,2015,Lowest INSample Mape,2014,01-04-2014,1500.886595,1390.507306,0.926457276
257,2015,Lowest INSample Mape,2014,01-05-2014,1255.636159,1257.425902,0.998574633
258,2015,Lowest INSample Mape,2014,01-06-2014,1248.203353,1257.616369,0.992458748
259,2015,Lowest INSample Mape,2014,01-07-2014,1295.34551,1308.130936,0.990129717
260,2015,Lowest INSample Mape,2014,01-08-2014,1273.485672,1232.398566,0.967736499
261,2015,Lowest INSample Mape,2014,01-09-2014,1338.542127,1280.176663,0.956396244
262,2015,Lowest INSample Mape,2014,01-10-2014,1439.808765,1452.397314,0.991256791
263,2015,Lowest INSample Mape,2014,01-11-2014,1584.612492,1586.628271,0.998727904
264,2015,Lowest INSample Mape,2014,01-12-2014,1810.307154,1850.060395,0.97804061
265,2015,Lowest INSample Mape,2015,01-01-2015,1662.501069,1502.892282,0.903994777
266,2015,Lowest INSample Mape,2015,01-02-2015,1055.452127,1225.965499,0.838445186
267,2015,Lowest INSample Mape,2015,01-03-2015,1572.300884,1466.117241,0.932466079
268,2015,Lowest INSample Mape,2015,01-04-2015,1261.277434,1315.265749,0.957195528
269,2015,Lowest INSample Mape,2015,01-05-2015,1093.949577,1311.270304,0.801343013
270,2015,Lowest INSample Mape,2015,01-06-2015,1288.687455,1321.157542,0.974803753
271,2015,Lowest INSample Mape,2015,01-07-2015,1421.229635,1316.436118,0.926265598
272,2015,Lowest INSample Mape,2015,01-08-2015,1318.693795,1200.7567,0.910565216
273,2015,Lowest INSample Mape,2015,01-09-2015,1331.707548,1254.552514,0.94206308
274,2015,Lowest INSample Mape,2015,01-10-2015,1485.756646,1416.536787,0.953411039
275,2015,Lowest INSample Mape,2015,01-11-2015,1571.134384,1528.497967,0.972862654
276,2015,Lowest INSample Mape,2015,01-12-2015,1965.386745,1797.998972,0.914832145
277,2015,Lowest INSample Mape,2016,01-01-2016,1468.391614,1451.041922,0.988184561
278,2015,Lowest INSample Mape,2016,01-02-2016,1202.601797,1185.163038,0.985499141
279,2015,Lowest INSample Mape,2016,01-03-2016,1493.370473,1427.53323,0.955913657
280,2015,Lowest INSample Mape,2016,01-04-2016,1276.321496,1324.901495,0.96193749
281,2015,Lowest INSample Mape,2016,01-05-2016,1217.321543,1201.844483,0.987285972
282,2015,Lowest INSample Mape,2016,01-06-2016,1182.128779,1252.917934,0.940117222
283,2015,Lowest INSample Mape,2016,01-07-2016,1395.204644,1347.018445,0.965462988
284,2015,Lowest INSample Mape,2016,01-08-2016,1231.507862,1272.787767,0.966480194
285,2015,Lowest INSample Mape,2016,01-09-2016,1377.947097,1323.107425,0.960201904
286,2015,Lowest INSample Mape,2016,01-10-2016,1439.062829,1477.250319,0.973463639
287,2015,Lowest INSample Mape,2016,01-11-2016,1594.208192,1584.130053,0.993678279
288,2015,Lowest INSample Mape,2016,01-12-2016,1935.742292,1892.246376,0.97753011
289,2015,Auto Arima,2009,01-01-2009,1611.309904,1609.698595,0.999000001
290,2015,Auto Arima,2009,01-02-2009,1343.166985,1341.823818,0.999
291,2015,Auto Arima,2009,01-03-2009,1563.248524,1561.685276,0.999
292,2015,Auto Arima,2009,01-04-2009,1542.646804,1541.104158,0.999
293,2015,Auto Arima,2009,01-05-2009,1393.522857,1392.129335,0.999
294,2015,Auto Arima,2009,01-06-2009,1505.522483,1504.016961,0.999
295,2015,Auto Arima,2009,01-07-2009,1192.494217,1191.301723,0.999
296,2015,Auto Arima,2009,01-08-2009,1333.554577,1332.221023,0.999
297,2015,Auto Arima,2009,01-09-2009,1511.87638,1510.364504,0.999
298,2015,Auto Arima,2009,01-10-2009,1552.030974,1550.478944,0.999
299,2015,Auto Arima,2009,01-11-2009,1770.121471,1768.35135,0.999
300,2015,Auto Arima,2009,01-12-2009,2142.850474,2140.707625,0.999
301,2015,Auto Arima,2010,01-01-2010,1578.423817,1608.093936,0.981202692
302,2015,Auto Arima,2010,01-02-2010,1282.251782,1344.631037,0.951351789
303,2015,Auto Arima,2010,01-03-2010,1565.996896,1576.842349,0.99307441
304,2015,Auto Arima,2010,01-04-2010,1406.814602,1534.490314,0.90924482
305,2015,Auto Arima,2010,01-05-2010,1371.829516,1419.266815,0.965420412
306,2015,Auto Arima,2010,01-06-2010,1466.819963,1512.721994,0.968706431
307,2015,Auto Arima,2010,01-07-2010,1230.075862,1205.252514,0.979819661
308,2015,Auto Arima,2010,01-08-2010,1316.638416,1326.917606,0.992192852
309,2015,Auto Arima,2010,01-09-2010,1461.90817,1510.226478,0.966948465
310,2015,Auto Arima,2010,01-10-2010,1415.710175,1551.884611,0.903811925
311,2015,Auto Arima,2010,01-11-2010,1565.999475,1783.608936,0.861041166
312,2015,Auto Arima,2010,01-12-2010,1872.276643,2166.225962,0.842998993
313,2015,Auto Arima,2011,01-01-2011,1700.400237,1650.828307,0.970846905
314,2015,Auto Arima,2011,01-02-2011,1277.937634,1292.960499,0.988244446
315,2015,Auto Arima,2011,01-03-2011,1484.16489,1567.219041,0.944039809
316,2015,Auto Arima,2011,01-04-2011,1577.484479,1474.494017,0.934712219
317,2015,Auto Arima,2011,01-05-2011,1256.881635,1355.867799,0.921244641
318,2015,Auto Arima,2011,01-06-2011,1365.863201,1500.381293,0.901514228
319,2015,Auto Arima,2011,01-07-2011,1194.73614,1245.324242,0.957657511
320,2015,Auto Arima,2011,01-08-2011,1408.328134,1334.603353,0.94765085
321,2015,Auto Arima,2011,01-09-2011,1329.566484,1461.935287,0.900442133
