index,Metal,Title,Headline,Ref Link,Location,Date,Time,Date-Time
99,Steel,Conflict with the US has yet to pressure Iranian steel market,Conflict with the US has yet to pressure Iranian steel market,https://metalbulletin.com/Article/3912846/steel/Conflict-with-the-US-has-yet-to-pressure-Iranian-steel-market.html,Dnepr,2020-01-08,22:40,2020-08-01 22:40:00
100,Steel,EUROPE HRC,"Sentiment in the market improves, further rises likely",https://metalbulletin.com/Article/3912830/steel/EUROPE-HRC-Sentiment-in-the-market-improves-further-rises-likely.html,Dnepr,2020-01-08,18:48,2020-08-01 18:48:00
101,Steel,CIS STEEL BILLET,"Market awaits more clarity after long holidays, customers’ mood pessimistic",https://metalbulletin.com/Article/3912827/steel/CIS-STEEL-BILLET-Market-awaits-more-clarity-after-long-holidays-customers-mood-pessimistic.html,Dnepr,2020-01-08,17:57,2020-08-01 17:57:00
102,Steel,EUROPE WIRE ROD,"Prices flat in quiet conditions, flat scrap market",https://metalbulletin.com/Article/3912831/steel/EUROPE-WIRE-ROD-Prices-flat-in-quiet-conditions-flat-scrap-market.html,London,2020-01-08,17:45,2020-08-01 17:45:00
103,Steel,TITANIUM SNAPSHOT,Markets steady; traders optimistic for uptick on resumed buying interest,https://metalbulletin.com/Article/3912792/steel/TITANIUM-SNAPSHOT-Markets-steady-traders-optimistic-for-uptick-on-resumed-buying-interest.html,Galway,2020-01-08,17:07,2020-08-01 17:07:00
104,Steel,EUROPE REBAR,Post-holiday prices stable as market waits for scrap cost moves,https://metalbulletin.com/Article/3912824/steel/EUROPE-REBAR-Post-holiday-prices-stable-as-market-waits-for-scrap-cost-moves.html,London,2020-01-08,16:55,2020-08-01 16:55:00
105,Steel,China allows further scrap imports as renaming process moves ahead,China allows further scrap imports as renaming process moves ahead,https://metalbulletin.com/Article/3912789/steel/China-allows-further-scrap-imports-as-renaming-process-moves-ahead.html,London,2020-01-08,16:08,2020-08-01 16:08:00
106,Steel,DAILY SCRAP REPORT,Mills continue to negotiate February cargoes,https://metalbulletin.com/Article/3912727/steel/DAILY-SCRAP-REPORT-Mills-continue-to-negotiate-February-cargoes.html,Mugla,2020-01-08,16:01,2020-08-01 16:01:00
0,Nickel,LIVE FUTURES REPORT 17/01, SHFE base metals prices mixed amid trade uncertainty; Ni drops 2.1%,https://metalbulletin.com/Article/3914412/Nickel/LIVE-FUTURES-REPORT-1701-SHFE-base-metals-prices-mixed-amid-trade-uncertainty-Ni-drops-21.html,Shanghai,2020-01-17,05:13,2020-01-17 05:13:00
1,Nickel,LIVE FUTURES REPORT 16/01, LME nickel price tumbles 3.5%; tin gathers momentum,https://metalbulletin.com/Article/3914378/Nickel/LIVE-FUTURES-REPORT-1601-LME-nickel-price-tumbles-35-tin-gathers-momentum.html,London,2020-01-16,18:32,2020-01-16 18:32:00
2,Nickel,LIVE FUTURES REPORT 16/01," LME lead breaches $2,000/t in 2% price surge; zinc back above $2,400/t",https://metalbulletin.com/Article/3914217/Nickel/LIVE-FUTURES-REPORT-1601-LME-lead-breaches-2000t-in-2-price-surge-zinc-back-above-2400t.html,London,2020-01-16,10:32,2020-01-16 10:32:00
3,Nickel,Chinese stainless steel prices dip ahead of Lunar New Year ,Chinese stainless steel prices dip ahead of Lunar New Year ,https://metalbulletin.com/Article/3914206/Nickel/Chinese-stainless-steel-prices-dip-ahead-of-Lunar-New-Year.html,Singapore,2020-01-16,07:10,2020-01-16 07:10:00
4,Nickel,LIVE FUTURES REPORT 16/01," SHFE base metal prices broadly strengthen after US, China sign trade deal; copper little changed",https://metalbulletin.com/Article/3914202/Nickel/LIVE-FUTURES-REPORT-1601-SHFE-base-metal-prices-broadly-strengthen-after-US-China-sign-trade-deal.html,Shanghai,2020-01-16,05:47,2020-01-16 05:47:00
5,Nickel,LIVE FUTURES REPORT 15/01," Strong buying sees LME lead price soar 2.5%; nickel back above $14,000",https://metalbulletin.com/Article/3914172/Nickel/LIVE-FUTURES-REPORT-1501-Strong-buying-sees-LME-lead-price-soar-25-nickel-back-above-14000.html,London,2020-01-15,18:00,2020-01-15 18:00:00
6,Nickel,HOTTER ON METALS, Shining a light on warehouse cancellations ,https://metalbulletin.com/Article/3914169/Nickel/HOTTER-ON-METALS-Shining-a-light-on-warehouse-cancellations.html,New York,2020-01-15,17:31,2020-01-15 17:31:00
7,Nickel,BASE METALS WARRANT REPORT 15/01,BASE METALS WARRANT REPORT 15/01,https://metalbulletin.com/Article/3914133/Nickel/BASE-METALS-WARRANT-REPORT-1501.html,London,2020-01-15,17:14,2020-01-15 17:14:00
8,Nickel,LIVE FUTURES REPORT 15/01, LME lead price climbs 1% in continued uptick; Al unmoved despite 52kt fresh cancelation,https://metalbulletin.com/Article/3913978/Nickel/LIVE-FUTURES-REPORT-1501-LME-lead-price-climbs-1-in-continued-uptick-Al-unmoved-despite-52kt-fresh.html,London,2020-01-15,10:14,2020-01-15 10:14:00
9,Nickel,GLOBAL NICKEL WRAP," US briquette premium continues upward trajectory; Europe, China quiet [CORRECTED]",https://metalbulletin.com/Article/3913973/Nickel/GLOBAL-NICKEL-WRAP-US-briquette-premium-continues-upward-trajectory-Europe-China-quiet-[CORRECTED].html,"Shanghai, London, New York",2020-01-15,09:58,2020-01-15 09:58:00
10,Nickel,LIVE FUTURES REPORT 15/01, Most SHFE base metals prices edge higher on trade optimism,https://metalbulletin.com/Article/3913969/Nickel/LIVE-FUTURES-REPORT-1501-Most-SHFE-base-metals-prices-edge-higher-on-trade-optimism.html,Shanghai,2020-01-15,04:42,2020-01-15 04:42:00
11,Nickel,IN CASE YOU MISSED IT, 5 key stories from January 14,https://metalbulletin.com/Article/3913956/Nickel/IN-CASE-YOU-MISSED-IT-5-key-stories-from-January-14.html,New York,2020-01-15,00:05,2020-01-15 00:05:00
12,Nickel,WEEKLY BASE METAL PREMIUMS REPORT, 14/01,https://metalbulletin.com/Article/3913920/Nickel/WEEKLY-BASE-METAL-PREMIUMS-REPORT-1401.html,"London, Shanghai, New York, Singapore, Sao Paolo",2020-01-14,22:34,2020-01-14 22:34:00
13,Nickel,LIVE FUTURES REPORT 14/01, LME copper price hits 9-mth high; lead up 2%,https://metalbulletin.com/Article/3913929/Nickel/LIVE-FUTURES-REPORT-1401-LME-copper-price-hits-9-mth-high-lead-up-2.html,London,2020-01-14,18:20,2020-01-14 18:20:00
14,Nickel,LIVE FUTURES REPORT 14/01, LME nickel price sinks 3% on selling pressure; copper holds gains ,https://metalbulletin.com/Article/3913792/Nickel/LIVE-FUTURES-REPORT-1401-LME-nickel-price-sinks-3-on-selling-pressure-copper-holds-gains.html,London,2020-01-14,10:18,2020-01-14 10:18:00
